0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.08576475,-0.22140872,0,0.11524661,0.60314,0,0.12389599,0.14810658,0,0.112652056,-0.96648145,0,0.12284435,-1.1313832,0,0.11861412,-0.58985704,0,0.13016482,1.1430188,0,0.11288607,-0.09230268,0,0.10916616,1.2096435,0,0.12383068,0.22799897,0,0.034703728,0.22772181,0,0.08973615,1.0066243,0,0.20615713,1.0670925,0,0.11505146,-0.61663306,0,0.116214804,-0.97443384,0,0.101699635,-1.0439726,0,0.084518164,-0.09001958,0,0.12833798,-0.34736317,0,0.1293969,-0.83788705,0,0.118968956,0.21900177
0,0,0.27831316,0,0,-0.73376584,0,0,-0.34286112,0,0,0.25688493,0,0,0.2850958,0,0,1.193417,0,0,-0.82639325,0,0,-0.39169693,0,0,-1.1948141,0,0,-0.38586974,0,0,0.0059845448,0,0,-0.35480893,0,0,-0.47184187,0,0,0.6280433,0,0,-0.3719173,0,0,0.5608995,0,0,0.36579025,0,0,-0.031571507,0,0,0.75950634,0,0,0.06386721
0,0,0,0,0,-0.35398525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005125699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.412251,0,0,-0.045058962,0,0,0.36618507,0,0,0.95656,0,0,-0.100589156,0,0,0.005195022,0,0,0.71354234,0,0,-0.33046764,0,0,-1.130463,0,0,-0.6401509,0,0,0.9918181,0,0,0.29720604,0,0,-1.1418146,0,0,-0.66098493,0,0,-0.744058,0,0,-0.48005998,0,0,-0.41986144,0,0,-0.1925391,0,0,1.1993872,0,0,-0.89293027
0,0,0.8510312,0,0,2.03673,0,0,0.34910464,0,0,0.9198469,0,0,1.1153125,0,0,0.68661594,0,0,0.64322746,0,0,-0.686418,0,0,0.6267725,0,0,1.1133763,0,0,-0.7179928,0,0,0.17135203,0,0,0.9333489,0,0,1.1129311,0,0,-0.079021215,0,0,1.0389107,0,0,0.86605275,0,0,-0.048578262,0,0,0.117078185,0,0,0.08272362
0,0,-1.1558961,0,0,1.0515,0,0,-0.872519,0,0,-0.6164961,0,0,0.16850269,0,0,0.70259786,0,0,-0.3887124,0,0,0.6324812,0,0,0.53855324,0,0,0.91219103,0,0,-0.08469486,0,0,-0.051255345,0,0,-0.11548531,0,0,-0.13724613,0,0,1.1920582,0,0,-0.23707664,0,0,0.09410226,0,0,0.959236,0,0,-0.8608156,0,0,1.0020233
0,0,0.26494706,0,0,-0.7518057,0,0,0.4087639,0,0,1.0413204,0,0,-0.17277348,0,0,-0.21948993,0,0,-0.2674256,0,0,0.12811172,0,0,-0.45441926,0,0,0.8093821,0,0,0.13729203,0,0,-0.8919471,0,0,0.4612019,0,0,1.0460833,0,0,0.95515096,0,0,-0.19921565,0,0,0.7912611,0,0,0.003160596,0,0,0.5419977,0,0,-0.36291784
0,0,0,0,0,-0.013706677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.25235552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005125734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
